gawk-4.1.1-5.fc21.x86_64,gawk-4.1.1-5.fc21.src.rpm
2:tar-1.27.1-7.fc21.x86_64,2:tar-1.27.1-7.fc21.src.rpm
elfutils-devel-0.160-1.fc21.x86_64,elfutils-0.160-1.fc21.src.rpm
gcc-4.9.1-11.fc21.x86_64,gcc-4.9.1-11.fc21.src.rpm
python-2.7.8-4.1.fc21.x86_64,python-2.7.8-4.1.fc21.src.rpm
python-setuptools-2.0-8.fc21.noarch,python-setuptools-2.0-8.fc21.src.rpm
transifex-client-0.10-3.fc21.noarch,transifex-client-0.10-3.fc21.src.rpm
gcc-gfortran-4.9.1-11.fc21.x86_64,gcc-4.9.1-11.fc21.src.rpm
4:perl-macros-5.18.4-304.fc21.x86_64,4:perl-5.18.4-304.fc21.src.rpm
perl-Text-ParseWords-3.29-6.fc21.noarch,perl-Text-ParseWords-3.29-6.fc21.src.rpm
perl-Data-Dumper-2.154-1.fc21.x86_64,perl-Data-Dumper-2.154-1.fc21.src.rpm
1:emacs-24.3-27.fc21.x86_64,1:emacs-24.3-27.fc21.src.rpm
erlang-17.2.2-1.fc21.x86_64,erlang-17.2.2-1.fc21.src.rpm
librdmacm-devel-1.0.18.1-3.fc21.x86_64,librdmacm-1.0.18.1-3.fc21.src.rpm
opensm-devel-3.3.17-4.fc21.x86_64,opensm-3.3.17-4.fc21.src.rpm
hwloc-devel-1.9.1-1.fc21.x86_64,hwloc-1.9.1-1.fc21.src.rpm
torque-devel-4.2.8-1.fc21.x86_64,torque-4.2.8-1.fc21.src.rpm
1:valgrind-devel-3.10.0-1.fc21.x86_64,1:valgrind-3.10.0-1.fc21.src.rpm
libibcm-devel-1.0.5-11.fc21.x86_64,libibcm-1.0.5-11.fc21.src.rpm
libtool-ltdl-devel-2.4.2-30.fc21.x86_64,libtool-2.4.2-30.fc21.src.rpm
libevent-devel-2.0.21-6.fc21.x86_64,libevent-2.0.21-6.fc21.src.rpm
1:java-1.8.0-openjdk-devel-1.8.0.20-12.b26.fc21.x86_64,1:java-1.8.0-openjdk-1.8.0.20-12.b26.fc21.src.rpm
hwloc-1.9.1-1.fc21.x86_64,hwloc-1.9.1-1.fc21.src.rpm
libibverbs-devel-1.1.8-3.fc21.x86_64,libibverbs-1.1.8-3.fc21.src.rpm
papi-devel-5.3.2-2.fc21.x86_64,papi-5.3.2-2.fc21.src.rpm
libusbx-devel-1.0.19-2.fc21.x86_64,libusbx-1.0.19-2.fc21.src.rpm
libieee1284-devel-0.2.11-17.fc21.x86_64,libieee1284-0.2.11-17.fc21.src.rpm
libtiff-devel-4.0.3-18.fc21.x86_64,libtiff-4.0.3-18.fc21.src.rpm
libjpeg-turbo-devel-1.3.1-4.fc21.x86_64,libjpeg-turbo-1.3.1-4.fc21.src.rpm
4:texlive-latex-bin-bin-svn14050.0-1.1.20140525_r34255.fc21.noarch,4:texlive-2014-1.1.20140525_r34255.fc21.src.rpm
libv4l-devel-1.6.0-1.fc21.x86_64,v4l-utils-1.6.0-1.fc21.src.rpm
libgphoto2-devel-2.5.3-9.fc21.x86_64,libgphoto2-2.5.3-9.fc21.src.rpm
1:bash-completion-2.1-5.fc21.noarch,1:bash-completion-2.1-5.fc21.src.rpm
pygpgme-0.3-12.fc21.x86_64,pygpgme-0.3-12.fc21.src.rpm
rpm-4.12.0.1-2.fc21.x86_64,rpm-4.12.0.1-2.fc21.src.rpm
rpm-python-4.12.0.1-2.fc21.x86_64,rpm-4.12.0.1-2.fc21.src.rpm
yum-metadata-parser-1.1.4-14.fc21.x86_64,yum-metadata-parser-1.1.4-14.fc21.src.rpm
python-iniparse-0.4-15.fc21.noarch,python-iniparse-0.4-15.fc21.src.rpm
webkitgtk3-devel-2.4.6-1.fc21.x86_64,webkitgtk3-2.4.6-1.fc21.src.rpm
libxslt-devel-1.1.28-8.fc21.x86_64,libxslt-1.1.28-8.fc21.src.rpm
sqlite-devel-3.8.6-2.fc21.x86_64,sqlite-3.8.6-2.fc21.src.rpm
libxml2-devel-2.9.1-5.fc21.x86_64,libxml2-2.9.1-5.fc21.src.rpm
itstool-2.0.2-2.fc21.noarch,itstool-2.0.2-2.fc21.src.rpm
gettext-devel-0.19.2-4.fc21.x86_64,gettext-0.19.2-4.fc21.src.rpm
yelp-xsl-devel-3.14.0-1.fc21.noarch,yelp-xsl-3.14.0-1.fc21.src.rpm
chrpath-0.13-15.fc21.x86_64,chrpath-0.13-15.fc21.src.rpm
webkitgtk4-devel-2.6.0-2.fc21.x86_64,webkitgtk4-2.6.0-2.fc21.src.rpm
libwnck3-devel-3.4.9-1.fc21.x86_64,libwnck3-3.4.9-1.fc21.src.rpm
gnome-common-3.14.0-1.fc21.noarch,gnome-common-3.14.0-1.fc21.src.rpm
gsettings-desktop-schemas-devel-3.14.0-1.fc21.x86_64,gsettings-desktop-schemas-3.14.0-1.fc21.src.rpm
glib2-devel-2.42.0-1.fc21.x86_64,glib2-2.42.0-1.fc21.src.rpm
libsoup-devel-2.48.0-1.fc21.x86_64,libsoup-2.48.0-1.fc21.src.rpm
libsecret-devel-0.18-6.fc21.x86_64,libsecret-0.18-6.fc21.src.rpm
avahi-gobject-devel-0.6.31-29.fc21.x86_64,avahi-0.6.31-29.fc21.src.rpm
gnome-desktop3-devel-3.14.0-2.fc21.x86_64,gnome-desktop3-3.14.0-2.fc21.src.rpm
iso-codes-devel-3.56-1.fc21.noarch,iso-codes-3.56-1.fc21.src.rpm
gcr-devel-3.14.0-2.fc21.x86_64,gcr-3.14.0-2.fc21.src.rpm
libnotify-devel-0.7.6-4.fc21.x86_64,libnotify-0.7.6-4.fc21.src.rpm
ImageMagick-6.8.8.10-5.fc21.x86_64,ImageMagick-6.8.8.10-5.fc21.src.rpm
sane-backends-devel-1.0.24-12.fc21.x86_64,sane-backends-1.0.24-12.fc21.src.rpm
netpbm-progs-10.66.02-3.fc21.x86_64,netpbm-10.66.02-3.fc21.src.rpm
2:gimp-devel-2.8.14-1.fc21.x86_64,2:gimp-2.8.14-1.fc21.src.rpm
lcms2-devel-2.6-4.fc21.x86_64,lcms2-2.6-4.fc21.src.rpm
2:libpng-devel-1.6.10-3.fc21.x86_64,2:libpng-1.6.10-3.fc21.src.rpm
1:tcl-devel-8.6.2-1.fc21.x86_64,1:tcl-8.6.2-1.fc21.src.rpm
1:tk-devel-8.6.2-1.fc21.x86_64,1:tk-8.6.2-1.fc21.src.rpm
libicu-devel-52.1-4.fc21.x86_64,icu-52.1-4.fc21.src.rpm
libgdiplus-devel-2.10.9-3.fc21.x86_64,libgdiplus-2.10.9-3.fc21.src.rpm
mono-core-2.10.8-8.fc21.x86_64,mono-2.10.8-8.fc21.src.rpm
