libXrandr-devel,libXrandr-devel-1.4.2-2.fc21.x86_64
libSM-devel,libSM-devel-1.2.2-2.fc21.x86_64
libXcomposite-devel,libXcomposite-devel-0.4.4-6.fc21.x86_64
marco-devel,marco-devel-1.8.2-2.fc21.x86_64
bluez-libs-devel,bluez-libs-devel-5.23-1.fc21.x86_64
iscsi-initiator-utils,iscsi-initiator-utils-6.2.0.873-23.fc21.x86_64
libwsman-devel,libwsman-devel-2.4.6-3.fc21.x86_64
libattr-devel,libattr-devel-2.4.47-9.fc21.x86_64
libssh2-devel,libssh2-devel-1.4.3-16.fc21.x86_64
libnl3-devel,libnl3-devel-3.2.25-4.fc21.x86_64
scrub,scrub-2.5.2-6.fc21.x86_64
xhtml1-dtds,xhtml1-dtds-1.0-20020801.11.noarch
augeas,augeas-1.2.0-4.fc21.x86_64
ceph-devel,1:ceph-devel-0.80.5-10.fc21.x86_64
libtasn1-devel,libtasn1-devel-4.2-1.fc21.x86_64
libpcap-devel,14:libpcap-devel-1.5.3-5.fc21.x86_64
iptables,iptables-1.4.21-11.fc21.x86_64
sanlock-devel,sanlock-devel-3.2.1-2.fc21.x86_64
ebtables,ebtables-2.0.10-16.fc21.x86_64
glusterfs-devel,glusterfs-devel-3.5.2-2.fc21.x86_64
avahi-devel,avahi-devel-0.6.31-29.fc21.x86_64
wireshark-devel,wireshark-devel-1.12.1-1.fc21.x86_64
/usr/bin/qemu-img,2:qemu-img-2.1.2-4.fc21.x86_64
radvd,radvd-1.12-2.fc21.x86_64
glusterfs-api-devel,glusterfs-api-devel-3.5.2-2.fc21.x86_64
lvm2,lvm2-2.02.111-1.fc21.x86_64
netcf-devel,netcf-devel-0.2.6-1.fc21.x86_64
dnsmasq,dnsmasq-2.72-3.fc21.x86_64
grep,grep-2.20-3.fc21.x86_64
perl(Test::Simple),perl-Test-Simple-1.001006-1.fc21.noarch
mtx,mtx-1.3.12-11.fc21.x86_64
swig,swig-3.0.2-2.fc21.x86_64
procps-ng,procps-ng-3.3.9-12.fc21.x86_64
ncompress,ncompress-4.2.4.4-3.fc21.x86_64
gnuplot,gnuplot-4.6.5-3.fc21.x86_64
samba-client,2:samba-client-4.1.12-5.fc21.x86_64
dump,1:dump-0.4-0.23.b44.fc21.x86_64
mt-st,mt-st-1.1-14.fc21.x86_64
openssh-clients,openssh-clients-6.6.1p1-5.fc21.1.x86_64
fileutils,coreutils-8.22-18.fc21.x86_64
perl-devel,4:perl-devel-5.18.4-304.fc21.x86_64
cups,1:cups-1.7.5-5.fc21.x86_64
xorg-x11-server-devel,xorg-x11-server-devel-1.16.1-1.fc21.x86_64
xorg-x11-glamor-devel,xorg-x11-server-devel-1.16.1-1.fc21.x86_64
xauth,1:xorg-x11-xauth-1.0.9-2.fc21.x86_64
audit-libs,audit-libs-2.4-1.fc21.x86_64
tcp_wrappers-devel,tcp_wrappers-devel-7.6-79.fc21.x86_64
fipscheck-devel,fipscheck-devel-1.4.1-7.fc21.x86_64
perl-podlators,perl-podlators-2.5.3-2.fc21.noarch
openmpi-devel,openmpi-devel-1.8.3-1.fc21.x86_64
libusb1-devel,libusbx-devel-1.0.19-2.fc21.x86_64
xmlto,xmlto-0.0.26-3.fc21.x86_64
pkgconfig(glib-2.0),glib2-devel-2.42.0-1.fc21.x86_64
antlr,antlr-tool-2.7.7-34.fc21.noarch
ecj,1:ecj-4.4.0-1.fc21.noarch
imsettings-devel,imsettings-devel-1.6.7-5.fc21.x86_64
libxfce4util-devel,libxfce4util-devel-4.10.1-4.fc21.x86_64
mysql-devel,1:mariadb-devel-10.0.14-4.fc21.x86_64
jasper-devel,jasper-devel-1.900.1-27.fc21.x86_64
pkgconfig(xcomposite),libXcomposite-devel-0.4.4-6.fc21.x86_64
kde4-macros(api),kde-filesystem-4-49.fc21.x86_64
pkgconfig(libxml-2.0),libxml2-devel-2.9.1-5.fc21.x86_64
pkgconfig(libpcre),pcre-devel-8.35-6.fc21.1.x86_64
pkgconfig(dbusmenu-qt),dbusmenu-qt-devel-0.9.2-8.fc21.x86_64
pkgconfig(libxslt),libxslt-devel-1.1.28-8.fc21.x86_64
kde-settings,kde-settings-21-1.fc21.noarch
